Player_ID,bat_rating,bowl_rating,allround_value,overall_rating,powerplay_rating,middle_rating,death_rating,vs_pace_rating,vs_spin_rating
BAT001,63.2,29.2,58.1,89.9,65.5,76.8,81.9,62.3,95.2
BAT002,73.2,10.0,63.7,98.4,45.9,69.4,100.0,72.4,63.7
BAT003,62.1,31.5,57.5,91.0,39.1,51.1,80.3,58.7,48.3
BAT004,63.1,0.0,53.6,85.9,41.7,54.2,88.8,47.3,46.2
BAT005,57.3,11.7,50.5,75.1,47.5,46.0,49.2,53.2,58.6
BAT006,66.8,0.0,56.8,94.4,52.4,41.1,73.4,50.8,38.9
BAT007,65.5,11.7,57.4,92.8,45.1,58.5,79.0,45.7,49.7
BAT008,63.9,0.0,54.3,80.3,47.0,54.7,100.0,53.3,59.2
BAT009,56.2,31.6,52.5,80.9,39.6,42.6,88.6,51.0,45.8
BAT010,62.4,42.9,59.4,94.8,57.0,59.0,87.7,57.3,42.3
BAT011,66.8,11.4,58.5,91.9,89.8,67.2,0.0,76.2,57.1
BAT012,60.5,0.0,51.4,81.6,0.3,42.7,67.3,48.6,46.7
BAT013,54.5,0.0,46.3,64.6,100.0,81.3,0.0,76.2,50.8
BAT014,65.2,0.0,55.4,89.0,50.1,49.1,94.6,52.4,41.0
BAT015,59.0,0.0,50.1,76.7,33.2,70.8,73.6,54.2,79.4
BAT016,44.8,0.0,38.0,40.4,35.5,39.8,59.7,41.4,35.9
BAT017,60.2,22.9,54.7,87.7,34.2,50.8,100.0,52.8,53.2
BAT018,61.2,0.0,52.0,74.0,41.7,34.8,92.8,56.2,34.0
BAT019,44.6,0.0,37.9,39.0,28.6,41.7,54.2,48.8,47.7
BAT020,39.8,35.4,39.1,44.2,16.7,18.5,58.3,43.2,22.2
BAT021,58.3,0.0,49.5,74.0,44.9,41.4,54.6,42.7,40.8
BAT022,59.7,0.0,50.7,75.8,50.4,38.2,22.6,49.1,45.5
BAT023,53.8,26.5,49.7,73.3,35.0,37.9,78.7,34.5,40.2
BAT024,67.9,0.0,57.7,93.9,68.1,50.6,100.0,63.2,49.1
BAT025,65.0,10.1,56.8,92.8,0.0,42.2,100.0,77.7,36.6
BAT026,53.0,0.0,45.1,59.6,33.3,63.3,100.0,65.2,60.6
BAT027,47.0,6.8,41.0,48.7,60.9,30.8,42.4,49.1,54.2
BAT028,50.6,23.4,46.5,60.3,65.5,51.9,62.1,61.1,37.6
BAT029,59.7,24.8,54.5,83.0,48.8,33.8,100.0,58.7,62.8
BAT030,40.7,38.0,40.3,47.1,0.0,0.0,100.0,49.3,67.2
BAT031,40.2,0.0,34.2,30.9,8.7,21.1,74.3,26.5,34.0
