Player_ID,data_source,matches,runs,balls_faced,batting_average,strike_rate,boundary_pct,fifties,hundreds,wickets,economy,bowling_strike_rate,balls_bowled,powerplay_sr,middle_sr,death_sr,powerplay_econ,middle_econ,death_econ
BAT001,real,81,2308,1346,31.2,171.5,74.5,0,0,28,10.0,26.4,740,170.2,175.8,147.5,10.7,9.4,10.9
BAT002,real,97,2896,1897,32.9,152.7,66.6,0,0,12,8.6,35.5,426,132.0,153.2,180.0,9.7,7.9,11.0
BAT003,real,65,1858,1284,35.7,144.7,60.2,0,0,0,7.6,0.0,22,117.1,138.0,201.0,7.0,6.5,12.0
BAT004,real,78,2635,1924,37.6,137.0,60.0,0,0,0,0.0,0.0,0,129.9,139.8,187.5,0.0,0.0,0.0
BAT005,real,81,2099,1510,26.6,139.0,70.1,0,0,1,8.8,97.0,97,138.8,139.4,139.1,0.0,8.5,14.0
BAT006,real,91,3458,2430,44.9,142.3,59.4,0,0,0,0.0,0.0,0,148.4,132.6,178.5,0.0,0.0,0.0
BAT007,real,93,3659,2486,42.5,147.2,60.2,0,0,0,0.0,0.0,0,138.3,153.6,173.0,0.0,0.0,0.0
BAT008,real,57,2515,1686,48.4,149.2,60.8,0,0,0,0.0,0.0,0,138.5,151.8,205.0,0.0,0.0,0.0
BAT009,real,66,1671,1234,29.8,135.4,55.8,0,0,6,9.6,37.2,223,129.6,131.1,181.9,8.4,9.6,13.8
BAT010,real,47,1630,1052,34.7,154.9,71.5,0,0,17,9.4,14.2,241,156.2,152.3,168.3,6.2,8.9,13.7
BAT011,real,42,1351,767,33.0,176.1,78.5,0,0,1,15.0,16.0,16,181.5,162.5,0.0,0.0,19.2,8.0
BAT012,real,66,1438,1024,38.9,140.4,57.4,0,0,0,0.0,0.0,0,75.9,131.1,167.9,0.0,0.0,0.0
BAT013,real,15,385,193,25.7,199.5,87.3,0,0,0,0.0,0.0,0,206.9,177.6,0.0,0.0,0.0,0.0
BAT014,real,70,2471,1734,37.4,142.5,62.6,0,0,0,0.0,0.0,0,140.1,138.9,193.5,0.0,0.0,0.0
BAT015,real,52,1612,980,33.6,164.5,67.2,0,0,0,0.0,0.0,0,113.0,175.6,213.0,0.0,0.0,0.0
BAT016,real,74,1797,1326,25.7,135.5,66.3,0,0,0,0.0,0.0,0,135.2,134.4,151.7,0.0,0.0,0.0
BAT017,real,66,2029,1348,42.3,150.5,61.6,0,0,0,7.0,0.0,6,123.1,149.3,201.1,0.0,0.0,7.0
BAT018,real,69,1291,851,29.3,151.7,61.8,0,0,0,0.0,0.0,0,105.0,121.8,187.9,0.0,0.0,0.0
BAT019,real,11,190,154,21.1,123.4,61.1,0,0,0,0.0,0.0,0,114.3,130.0,145.0,0.0,0.0,0.0
BAT020,real,13,203,179,22.6,113.4,48.3,0,0,6,11.9,15.0,90,100.0,102.2,150.0,7.0,12.4,15.3
BAT021,real,10,278,175,27.8,158.9,73.4,0,0,0,0.0,0.0,0,169.1,119.4,0.0,0.0,0.0,0.0
BAT022,real,42,1313,988,33.7,132.9,65.3,0,0,0,0.0,0.0,0,140.5,125.8,107.1,0.0,0.0,0.0
BAT023,real,46,1629,1282,36.2,127.1,62.0,0,0,7,9.2,24.9,174,122.0,125.5,174.4,9.2,8.9,15.0
BAT024,real,79,2553,1653,34.0,154.4,73.8,0,0,0,36.0,0.0,1,161.5,139.9,217.4,0.0,0.0,36.0
BAT025,real,59,1151,650,32.9,177.1,69.7,0,0,0,18.0,0.0,6,0.0,138.5,210.3,0.0,18.0,0.0
BAT026,real,24,606,415,25.2,146.0,67.7,0,0,1,16.0,3.0,3,114.5,148.7,203.7,0.0,0.0,16.0
BAT027,real,9,163,116,18.1,140.5,73.6,0,0,0,0.0,0.0,0,152.2,100.0,0.0,0.0,0.0,0.0
BAT028,real,73,1633,1099,26.3,148.6,64.4,0,0,7,9.9,31.9,223,150.4,147.1,152.9,6.0,9.8,15.4
BAT029,real,43,986,649,39.4,151.9,56.6,0,0,4,11.5,9.0,36,112.2,121.8,219.6,0.0,11.5,0.0
BAT030,real,13,132,109,12.0,121.1,57.6,0,0,2,8.0,15.0,30,33.3,94.7,185.0,4.0,9.0,0.0
BAT031,real,24,513,496,27.0,103.4,50.7,0,0,0,0.0,0.0,0,90.4,105.3,169.2,0.0,0.0,0.0
BAT032,real,20,447,310,27.9,144.2,66.7,0,0,0,0.0,0.0,0,25.0,145.7,161.1,0.0,0.0,0.0
BAT033,real,30,555,390,22.2,142.3,68.5,0,0,1,11.7,18.0,18,115.4,116.6,197.6,0.0,10.5,14.0
BAT034,real,18,413,287,24.3,143.9,62.0,0,0,0,3.5,0.0,12,137.5,144.4,350.0,0.0,3.5,0.0
BAT035,real,31,909,471,29.3,193.0,79.9,0,0,0,0.0,0.0,0,191.0,199.1,0.0,0.0,0.0,0.0
BAT036,real,54,1303,929,26.6,140.3,63.2,0,0,0,0.0,0.0,0,135.4,142.0,163.9,0.0,0.0,0.0
BAT037,real,56,1178,836,25.6,140.9,56.5,0,0,4,9.4,10.2,41,125.3,126.7,173.5,0.0,10.2,7.8
BAT038,real,13,441,240,33.9,183.8,77.6,0,0,0,0.0,0.0,0,189.7,180.0,80.0,0.0,0.0,0.0
BAT039,real,57,1434,1033,26.6,138.8,61.8,0,0,0,0.0,0.0,0,144.6,127.4,366.7,0.0,0.0,0.0
BAT040,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAT041,real,14,363,182,30.2,199.5,83.7,0,0,2,9.1,45.0,90,183.2,245.2,57.1,10.7,8.7,0.0
BAT042,real,42,1066,805,26.6,132.4,60.6,0,0,0,0.0,0.0,0,124.2,140.4,187.0,0.0,0.0,0.0
BAT043,real,29,744,607,28.6,122.6,51.6,0,0,0,0.0,0.0,0,107.4,126.0,146.7,0.0,0.0,0.0
BAT044,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAT045,real,26,564,334,29.7,168.9,70.2,0,0,0,0.0,0.0,0,0.0,133.6,198.4,0.0,0.0,0.0
BAT046,real,72,1225,860,24.0,142.4,60.9,0,0,24,10.3,21.2,510,101.9,126.1,182.7,9.9,9.7,14.1
BAT047,real,12,232,151,19.3,153.6,74.1,0,0,0,0.0,0.0,0,157.5,156.2,60.0,0.0,0.0,0.0
BAT048,real,18,305,228,19.1,133.8,64.9,0,0,0,0.0,0.0,0,160.0,107.5,173.9,0.0,0.0,0.0
BAT049,real,18,424,293,30.3,144.7,65.1,0,0,0,0.0,0.0,0,56.2,144.3,202.0,0.0,0.0,0.0
BAT050,real,41,1066,692,26.0,154.0,71.3,0,0,0,0.0,0.0,0,156.7,147.1,0.0,0.0,0.0,0.0
BAT051,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAT052,real,37,784,560,23.8,140.0,65.6,0,0,0,7.8,0.0,17,106.0,142.6,150.0,0.0,6.5,10.8
BAT053,real,66,1641,1175,27.4,139.7,68.1,0,0,3,9.7,37.7,113,126.4,141.3,180.2,14.2,8.7,7.8
BAT054,real,9,177,143,19.7,123.8,64.4,0,0,0,8.9,0.0,43,134.0,97.5,0.0,10.4,5.5,0.0
BAT055,real,17,420,257,28.0,163.4,71.4,0,0,0,0.0,0.0,0,156.6,159.9,221.1,0.0,0.0,0.0
BAT056,real,13,379,263,29.2,144.1,74.9,0,0,0,8.4,0.0,42,137.6,167.2,0.0,7.2,16.0,0.0
BAT057,real,51,871,689,18.1,126.4,53.0,0,0,3,9.0,50.0,150,105.9,130.5,143.7,6.0,9.5,7.0
BAT058,real,23,1028,449,44.7,229.0,87.5,0,0,0,0.0,0.0,0,227.0,230.3,325.0,0.0,0.0,0.0
BAT059,real,51,746,511,19.1,146.0,64.6,0,0,1,11.6,15.0,15,0.0,122.7,178.8,0.0,8.5,24.0
BAT060,real,17,277,169,18.5,163.9,72.2,0,0,0,7.3,0.0,18,211.8,131.2,132.4,0.0,7.3,0.0
BAT061,real,33,710,433,27.3,164.0,68.7,0,0,0,8.8,0.0,52,142.2,146.3,210.2,6.0,10.2,2.0
BAT062,real,5,71,63,14.2,112.7,67.6,0,0,0,0.0,0.0,0,115.0,66.7,0.0,0.0,0.0,0.0
BAT063,real,54,775,527,19.9,147.1,65.5,0,0,2,11.2,15.0,30,109.5,135.1,170.5,0.0,12.2,7.0
BAT064,real,20,292,235,15.4,124.3,60.3,0,0,0,0.0,0.0,0,66.7,109.3,173.1,0.0,0.0,0.0
WK001,real,59,807,570,27.8,141.6,66.4,0,0,0,0.0,0.0,0,90.0,77.5,182.4,0.0,0.0,0.0
WK002,real,68,1792,1270,32.0,141.1,63.4,0,0,0,0.0,0.0,0,119.0,135.3,189.7,0.0,0.0,0.0
WK003,real,77,3175,2233,47.4,142.2,60.2,0,0,0,0.0,0.0,0,125.8,151.5,183.4,0.0,0.0,0.0
WK004,real,80,2006,1226,30.9,163.6,71.1,0,0,0,0.0,0.0,0,151.6,156.5,187.7,0.0,0.0,0.0
WK005,real,54,2038,1205,45.3,169.1,62.7,0,0,0,0.0,0.0,0,138.6,159.8,208.8,0.0,0.0,0.0
WK006,real,83,2597,1739,36.6,149.3,66.7,0,0,0,0.0,0.0,0,140.6,148.7,188.1,0.0,0.0,0.0
WK007,real,81,2389,1623,31.4,147.2,67.1,0,0,0,24.0,0.0,1,144.3,145.9,183.3,0.0,0.0,24.0
WK008,real,40,1258,721,34.0,174.5,75.8,0,0,0,0.0,0.0,0,172.1,177.5,218.2,0.0,0.0,0.0
WK009,real,28,1080,773,43.2,139.7,62.2,0,0,0,0.0,0.0,0,125.8,152.0,155.3,0.0,0.0,0.0
WK010,real,52,1482,1083,30.9,136.8,63.0,0,0,0,0.0,0.0,0,128.1,139.3,240.0,0.0,0.0,0.0
WK011,real,79,2932,1957,43.1,149.8,67.3,0,0,0,0.0,0.0,0,134.1,151.5,212.2,0.0,0.0,0.0
WK012,real,59,1107,726,23.1,152.5,67.9,0,0,0,0.0,0.0,0,56.5,145.7,181.5,0.0,0.0,0.0
WK013,real,57,1019,628,27.5,162.3,67.9,0,0,0,0.0,0.0,0,0.0,126.7,194.0,0.0,0.0,0.0
WK014,real,46,955,801,21.7,119.2,61.4,0,0,0,0.0,0.0,0,127.5,100.0,100.0,0.0,0.0,0.0
WK015,real,26,836,497,34.8,168.2,76.8,0,0,0,0.0,0.0,0,161.5,182.1,200.0,0.0,0.0,0.0
WK016,real,31,884,591,30.5,149.6,71.7,0,0,0,0.0,0.0,0,165.4,123.0,168.4,0.0,0.0,0.0
WK017,real,18,363,269,21.4,134.9,73.8,0,0,0,0.0,0.0,0,129.2,150.0,0.0,0.0,0.0,0.0
WK018,real,16,544,314,38.9,173.2,73.5,0,0,0,0.0,0.0,0,198.1,148.9,150.0,0.0,0.0,0.0
WK019,real,51,1195,775,31.4,154.2,63.9,0,0,0,0.0,0.0,0,162.4,139.9,179.4,0.0,0.0,0.0
WK020,real,62,1834,1157,30.6,158.5,72.5,0,0,0,0.0,0.0,0,153.2,165.5,227.8,0.0,0.0,0.0
WK021,real,33,769,529,25.6,145.4,63.5,0,0,1,10.5,24.0,24,147.5,138.0,189.3,13.0,8.0,0.0
WK022,real,6,45,41,7.5,109.8,66.7,0,0,0,0.0,0.0,0,116.2,0.0,50.0,0.0,0.0,0.0
WK023,real,8,129,118,18.4,109.3,62.0,0,0,0,0.0,0.0,0,108.6,116.3,81.8,0.0,0.0,0.0
WK024,real,30,885,608,34.0,145.6,62.6,0,0,0,0.0,0.0,0,145.9,139.5,176.1,0.0,0.0,0.0
WK025,real,9,183,122,22.9,150.0,65.6,0,0,0,0.0,0.0,0,130.0,178.2,100.0,0.0,0.0,0.0
WK026,real,11,161,144,14.6,111.8,64.6,0,0,0,0.0,0.0,0,122.0,94.3,0.0,0.0,0.0,0.0
WK027,real,8,199,163,28.4,122.1,48.2,0,0,0,0.0,0.0,0,110.2,118.7,200.0,0.0,0.0,0.0
AR001,real,76,1606,1173,26.3,136.9,58.9,0,0,40,9.8,22.4,895,108.3,131.7,166.8,10.0,8.9,14.4
AR002,real,53,1134,690,26.4,164.3,78.3,0,0,62,10.6,10.6,659,350.0,148.3,189.9,10.3,10.4,11.1
AR003,real,81,928,558,18.2,166.3,81.9,0,0,82,6.9,22.8,1869,162.7,191.4,96.0,8.8,6.5,7.8
AR004,real,96,2213,1500,31.2,147.5,64.2,0,0,22,10.5,17.7,389,98.1,140.6,174.7,9.0,11.1,11.2
AR005,real,82,1367,993,38.0,137.7,51.5,0,0,66,7.8,23.3,1541,161.5,108.0,168.7,6.5,7.7,12.5
AR006,real,66,1417,919,28.9,154.2,67.9,0,0,18,10.9,21.7,390,134.4,134.7,214.7,9.1,10.2,16.4
AR007,real,31,625,405,24.0,154.3,69.4,0,0,10,9.9,19.1,191,153.5,151.4,178.1,11.1,9.4,8.4
AR008,real,3,15,17,5.0,88.2,53.3,0,0,0,15.0,0.0,12,25.0,88.9,150.0,18.0,12.0,0.0
