Player_ID,data_source,league,matches,runs,batting_average,strike_rate,wickets,economy
AR001,real,T20I,84,1833,31.1,144.2,76,8.5
AR002,real,T20I,32,579,24.1,178.2,34,9.9
AR004,real,T20I,36,757,31.5,156.4,26,9.4
AR005,real,T20I,20,291,32.3,140.6,13,7.4
AR006,real,T20I,50,1152,34.9,154.4,43,9.1
AR007,real,T20I,57,928,18.9,118.4,16,8.8
AR008,real,T20I,39,932,34.5,121.7,42,7.0
AR009,real,T20I,95,2079,27.7,134.7,30,7.4
AR010,real,T20I,34,341,17.1,124.5,31,8.9
AR011,real,T20I,62,653,21.8,127.3,52,9.0
AR012,real,T20I,21,343,26.4,131.9,5,7.8
AR013,real,T20I,54,1098,22.9,149.2,22,9.1
AR014,real,T20I,25,107,17.8,133.8,26,8.3
AR015,real,T20I,99,698,15.2,123.1,111,7.2
AR016,real,T20I,27,225,22.5,130.1,29,6.9
AR017,real,T20I,39,107,17.8,135.4,41,7.2
AR018,real,T20I,1,3,3,100.0,1,8.0
AR019,real,T20I,75,777,19.9,141.3,95,8.9
AR020,real,T20I,80,727,23.5,133.2,83,7.2
AR021,real,T20I,3,24,12.0,126.3,0,17.5
AR023,real,T20I,8,139,27.8,151.1,5,8.2
AR024,real,T20I,40,538,16.8,110.7,40,7.4
AR027,real,T20I,143,3191,26.6,141.0,125,6.9
AR028,real,T20I,70,909,28.4,145.2,79,10.2
AR029,real,T20I,20,88,8.8,104.8,26,8.4
AR030,real,T20I,78,1732,28.9,141.3,7,10.2
AR031,real,T20I,15,240,18.5,155.8,2,8.7
AR032,real,T20I,291,5879,25.3,120.4,326,7.5
AR033,real,T20I,5,206,51.5,153.7,0,0.0
AR034,real,T20I,28,676,24.1,124.5,0,0.0
AR035,real,T20I,71,1234,22.9,135.2,8,9.5
AR036,real,T20I,54,791,19.8,149.5,45,9.3
AR038,real,T20I,813,16758,19.9,121.4,893,7.4
AR039,real,T20I,45,922,23.6,118.2,50,7.1
BAT001,real,T20I,122,2602,23.0,137.6,38,8.4
BAT002,real,T20I,137,3771,32.5,152.3,5,7.3
