Player_ID,bowler_type,runs,balls,strike_rate,dismissals
AR001,pace,1643,1143,143.7,59
AR001,spin,273,191,142.9,7
AR002,pace,1090,655,166.4,38
AR002,spin,320,200,160.0,14
AR003,pace,716,469,152.7,37
AR003,spin,113,71,159.2,12
AR004,pace,1516,1017,149.1,40
AR004,spin,239,172,139.0,9
AR005,pace,887,610,145.4,18
AR005,spin,179,152,117.8,6
AR006,pace,1138,803,141.7,44
AR006,spin,327,231,141.6,9
AR007,pace,530,376,141.0,24
AR007,spin,167,130,128.5,5
AR008,pace,197,154,127.9,9
AR008,spin,100,61,163.9,2
AR009,pace,1040,712,146.1,41
AR009,spin,266,190,140.0,7
AR010,pace,243,191,127.2,16
AR010,spin,83,55,150.9,3
AR011,pace,691,529,130.6,30
AR011,spin,183,150,122.0,5
AR012,pace,658,478,137.7,21
AR012,spin,131,140,93.6,5
AR013,pace,1177,791,148.8,40
AR013,spin,397,225,176.4,16
AR014,pace,311,219,142.0,11
AR014,spin,50,26,192.3,3
AR015,pace,731,601,121.6,31
AR015,spin,301,185,162.7,8
AR016,pace,283,231,122.5,20
AR016,spin,64,60,106.7,3
AR017,pace,285,243,117.3,16
AR017,spin,80,68,117.6,3
AR018,pace,546,430,127.0,28
AR018,spin,94,90,104.4,8
AR019,pace,540,392,137.8,32
AR019,spin,63,48,131.2,4
AR020,pace,327,294,111.2,17
AR020,spin,93,59,157.6,2
AR021,pace,1,2,50.0,1
AR022,pace,41,37,110.8,6
AR022,spin,36,25,144.0,2
AR023,pace,937,671,139.6,34
AR023,spin,205,175,117.1,7
AR024,pace,252,205,122.9,19
AR024,spin,39,39,100.0,3
AR025,pace,527,391,134.8,21
AR025,spin,74,47,157.4,4
AR026,pace,335,259,129.3,12
AR026,spin,77,68,113.2,6
AR027,pace,759,592,128.2,38
AR027,spin,152,110,138.2,3
AR028,pace,680,447,152.1,25
AR028,spin,40,34,117.6,2
AR029,pace,86,69,124.6,2
AR029,spin,15,17,88.2,1
AR030,pace,854,569,150.1,32
AR030,spin,116,101,114.9,4
AR031,pace,107,68,157.4,4
AR031,spin,16,12,133.3,2
AR032,pace,1394,1099,126.8,62
AR032,spin,287,321,89.4,10
AR033,pace,166,119,139.5,5
AR033,spin,64,29,220.7,3
AR034,pace,759,603,125.9,35
AR034,spin,196,125,156.8,10
AR035,pace,1055,681,154.9,32
AR035,spin,217,167,129.9,12
AR036,pace,200,162,123.5,16
AR036,spin,65,51,127.5,4
AR037,pace,121,78,155.1,5
AR037,spin,27,24,112.5,2
AR038,pace,3157,2471,127.8,146
AR038,spin,605,564,107.3,35
AR039,pace,243,226,107.5,21
AR039,spin,68,66,103.0,6
AR040,pace,102,56,182.1,4
AR040,spin,30,16,187.5,1
BAT001,pace,1885,1218,154.8,71
BAT001,spin,369,181,203.9,12
BAT002,pace,2590,1552,166.9,79
BAT002,spin,718,459,156.4,13
BAT003,pace,1483,986,150.4,34
BAT003,spin,349,253,137.9,7
BAT004,pace,1733,1267,136.8,44
BAT004,spin,363,268,135.4,11
BAT005,pace,1793,1247,143.8,62
BAT005,spin,267,176,151.7,10
BAT006,pace,2187,1551,141.0,45
BAT006,spin,550,434,126.7,10
BAT007,pace,2373,1761,134.8,63
BAT007,spin,490,351,139.6,10
BAT008,pace,1196,831,143.9,23
BAT008,spin,305,202,151.0,5
BAT009,pace,1716,1215,141.2,56
BAT009,spin,316,234,135.0,7
BAT010,pace,1711,1150,148.8,46
BAT010,spin,200,156,128.2,7
BAT011,pace,1103,643,171.5,34
BAT011,spin,157,100,157.0,6
BAT012,pace,1507,1090,138.3,39
BAT012,spin,265,195,135.9,7
BAT013,pace,377,220,171.4,13
BAT013,spin,93,65,143.1,4
BAT014,pace,1913,1339,142.9,49
BAT014,spin,429,332,129.2,12
BAT015,pace,622,429,145.0,20
BAT015,spin,303,166,182.5,6
BAT016,pace,909,701,129.7,38
BAT016,spin,183,155,118.1,9
BAT017,pace,1191,831,143.3,33
BAT017,spin,250,173,144.5,7
BAT018,pace,1486,1008,147.4,53
BAT018,spin,313,259,120.8,9
BAT019,pace,896,647,138.5,30
BAT019,spin,115,86,133.7,10
BAT020,pace,576,437,131.8,27
BAT020,spin,118,132,89.4,7
BAT021,pace,1165,888,131.2,29
BAT021,spin,97,85,114.1,5
BAT022,pace,1542,1110,138.9,40
BAT022,spin,209,157,133.1,7
BAT023,pace,1015,836,121.4,29
BAT023,spin,206,164,125.6,7
BAT024,pace,1592,1022,155.8,44
BAT024,spin,282,203,138.9,6
BAT025,pace,1625,938,173.2,43
BAT025,spin,164,140,117.1,10
BAT026,pace,557,352,158.2,27
BAT026,spin,167,101,165.3,0
BAT027,pace,343,247,138.9,13
BAT027,spin,45,25,180.0,2
BAT028,pace,978,638,153.3,35
BAT028,spin,249,199,125.1,5
BAT029,pace,904,601,150.4,21
BAT029,spin,252,158,159.5,6
BAT030,pace,671,482,139.2,22
BAT030,spin,226,132,171.2,8
BAT031,pace,587,525,111.8,17
BAT031,spin,82,86,95.3,4
BAT032,pace,976,629,155.2,32
BAT032,spin,101,92,109.8,3
BAT033,pace,1200,778,154.2,43
BAT033,spin,187,187,100.0,12
BAT034,pace,690,500,138.0,24
BAT034,spin,141,81,174.1,6
BAT035,pace,469,275,170.5,17
BAT035,spin,37,20,185.0,3
BAT036,pace,899,633,142.0,33
BAT036,spin,177,147,120.4,8
BAT037,pace,682,487,140.0,21
BAT037,spin,174,126,138.1,6
BAT038,pace,206,110,187.3,7
BAT038,spin,12,8,150.0,0
BAT039,pace,649,449,144.5,27
BAT039,spin,191,159,120.1,7
BAT040,pace,259,185,140.0,10
BAT040,spin,60,43,139.5,3
BAT041,pace,998,598,166.9,43
BAT041,spin,31,51,60.8,9
BAT042,pace,725,551,131.6,25
BAT042,spin,79,74,106.8,7
BAT043,pace,447,388,115.2,17
BAT043,spin,55,59,93.2,4
BAT044,pace,46,28,164.3,4
BAT045,pace,315,180,175.0,8
BAT045,spin,76,51,149.0,2
BAT046,pace,1897,1541,123.1,82
BAT046,spin,349,264,132.2,12
BAT047,pace,174,108,161.1,7
BAT047,spin,28,18,155.6,1
BAT048,pace,2236,1743,128.3,97
BAT048,spin,382,337,113.4,22
BAT049,pace,115,84,136.9,6
BAT049,spin,56,36,155.6,1
BAT050,pace,1045,702,148.9,34
BAT050,spin,138,99,139.4,5
BAT052,pace,395,296,133.4,19
BAT052,spin,193,132,146.2,3
BAT053,pace,1065,751,141.8,31
BAT053,spin,202,177,114.1,11
BAT054,pace,588,420,140.0,17
BAT054,spin,88,98,89.8,7
BAT055,pace,784,490,160.0,25
BAT055,spin,175,125,140.0,9
BAT056,pace,968,715,135.4,47
BAT056,spin,115,86,133.7,6
BAT057,pace,585,480,121.9,27
BAT057,spin,187,139,134.5,8
BAT058,pace,156,78,200.0,5
BAT058,spin,58,30,193.3,1
BAT059,pace,491,337,145.7,22
BAT059,spin,67,51,131.4,5
BAT060,pace,640,524,122.1,29
BAT060,spin,66,49,134.7,4
BAT061,pace,363,193,188.1,11
BAT061,spin,26,21,123.8,2
BAT062,pace,127,116,109.5,10
BAT062,spin,20,24,83.3,0
BAT063,pace,571,365,156.4,22
BAT063,spin,91,86,105.8,8
BAT064,pace,195,151,129.1,9
BAT064,spin,67,56,119.6,5
PACE001,pace,26,31,83.9,3
PACE001,spin,1,6,16.7,1
PACE002,pace,166,154,107.8,11
PACE002,spin,22,23,95.7,2
PACE003,pace,60,65,92.3,3
PACE003,spin,6,8,75.0,1
PACE004,pace,38,62,61.3,6
PACE004,spin,16,16,100.0,1
PACE005,pace,159,123,129.3,11
PACE005,spin,30,22,136.4,1
PACE006,pace,221,227,97.4,18
PACE006,spin,95,86,110.5,4
PACE007,pace,46,27,170.4,1
PACE007,spin,2,6,33.3,0
PACE008,pace,32,38,84.2,4
PACE008,spin,3,6,50.0,1
PACE009,pace,15,25,60.0,1
PACE009,spin,0,1,0.0,0
PACE010,pace,62,75,82.7,7
PACE010,spin,7,14,50.0,3
PACE011,pace,59,60,98.3,8
PACE011,spin,7,12,58.3,1
PACE012,pace,56,52,107.7,4
PACE012,spin,40,26,153.8,2
PACE013,pace,137,98,139.8,7
PACE013,spin,17,16,106.2,1
PACE014,pace,102,92,110.9,7
PACE014,spin,4,7,57.1,1
PACE015,pace,25,35,71.4,1
PACE015,spin,2,3,66.7,0
PACE016,pace,7,17,41.2,5
PACE016,spin,2,7,28.6,0
PACE017,pace,14,16,87.5,0
PACE017,spin,3,2,150.0,0
PACE018,pace,54,48,112.5,5
PACE018,spin,35,20,175.0,0
PACE019,pace,113,113,100.0,6
PACE020,pace,403,363,111.0,22
PACE020,spin,91,80,113.8,7
PACE021,pace,2,8,25.0,0
PACE022,pace,261,197,132.5,9
PACE022,spin,56,44,127.3,1
PACE024,pace,125,123,101.6,8
PACE024,spin,26,18,144.4,1
PACE025,pace,3,14,21.4,1
PACE025,spin,0,5,0.0,0
PACE026,pace,17,16,106.2,3
PACE026,spin,3,3,100.0,0
PACE027,pace,94,98,95.9,8
PACE027,spin,13,13,100.0,1
PACE028,pace,55,35,157.1,2
PACE028,spin,1,3,33.3,2
PACE029,pace,100,138,72.5,10
PACE029,spin,47,29,162.1,1
PACE030,pace,977,712,137.2,47
PACE030,spin,247,190,130.0,10
PACE031,pace,2,5,40.0,0
PACE031,spin,3,3,100.0,1
PACE033,pace,4,9,44.4,0
PACE033,spin,1,1,100.0,0
PACE035,pace,10,8,125.0,1
PACE035,spin,8,6,133.3,1
PACE036,pace,13,16,81.2,4
PACE036,spin,0,1,0.0,1
